,Date,State_Num,State,County_Num,County_Name,Event,Property_DMG,Damage Factor,F-Scale,Month,Year
0,1984-07-05,1,AL,95,MARSHALL,TORNADO,25.0,K,1.0,7,1984
1,1984-09-15,1,AL,39,COVINGTON,TORNADO,25.0,K,1.0,9,1984
2,1984-10-15,1,AL,35,CONECUH,TORNADO,250.0,K,2.0,10,1984
3,1984-11-10,1,AL,75,LAMAR,TORNADO,2.5,K,0.0,11,1984
4,1984-11-10,1,AL,107,PICKENS,TORNADO,250.0,K,2.0,11,1984
5,1984-11-10,1,AL,125,TUSCALOOSA,TORNADO,250.0,K,2.0,11,1984
6,1984-11-10,1,AL,103,MORGAN,TORNADO,25.0,K,1.0,11,1984
7,1984-11-10,1,AL,27,CLAY,TORNADO,25.0,K,1.0,11,1984
8,1984-11-10,1,AL,111,RANDOLPH,TORNADO,250.0,K,1.0,11,1984
9,1985-01-31,1,AL,1,AUTAUGA,TORNADO,0.03,K,0.0,1,1985
10,1985-02-11,1,AL,3,BALDWIN,TORNADO,25.0,K,1.0,2,1985
11,1986-07-28,1,AL,89,MADISON,TORNADO,0.25,K,0.0,7,1986
12,1961-03-31,1,AL,113,RUSSELL,TORNADO,25.0,K,3.0,3,1961
13,1961-04-09,1,AL,31,COFFEE,TORNADO,250.0,K,1.0,4,1961
14,1961-04-27,1,AL,109,PIKE,TORNADO,25.0,K,2.0,4,1961
15,1961-06-06,1,AL,89,MADISON,TORNADO,2.5,K,1.0,6,1961
16,1961-06-20,1,AL,69,HOUSTON,TORNADO,25.0,K,2.0,6,1961
17,1961-09-10,1,AL,97,MOBILE,TORNADO,2.5,K,1.0,9,1961
18,1961-12-10,1,AL,53,ESCAMBIA,TORNADO,250.0,K,3.0,12,1961
19,1961-12-11,1,AL,15,CALHOUN,TORNADO,250.0,K,3.0,12,1961
20,1961-12-11,1,AL,65,HALE,TORNADO,25.0,K,2.0,12,1961
21,1961-12-11,1,AL,105,PERRY,TORNADO,250.0,K,3.0,12,1961
22,1961-12-11,1,AL,21,CHILTON,TORNADO,2.5,K,1.0,12,1961
23,1961-12-11,1,AL,37,COOSA,TORNADO,25.0,K,2.0,12,1961
24,1961-12-12,1,AL,119,SUMTER,TORNADO,25.0,K,2.0,12,1961
25,1961-12-12,1,AL,29,CLEBURNE,TORNADO,2.5,K,1.0,12,1961
26,1961-12-17,1,AL,105,PERRY,TORNADO,25.0,K,2.0,12,1961
27,1962-01-05,1,AL,39,COVINGTON,TORNADO,2.5,K,2.0,1,1962
28,1962-01-05,1,AL,109,PIKE,TORNADO,25.0,K,2.0,1,1962
29,1962-01-05,1,AL,69,HOUSTON,TORNADO,25.0,K,1.0,1,1962
30,1962-03-21,1,AL,55,ETOWAH,TORNADO,250.0,K,3.0,3,1962
31,1962-03-21,1,AL,121,TALLADEGA,TORNADO,25.0,K,2.0,3,1962
32,1962-03-25,1,AL,43,CULLMAN,TORNADO,25.0,K,1.0,3,1962
33,1962-03-25,1,AL,95,MARSHALL,TORNADO,25.0,K,1.0,3,1962
34,1962-03-30,1,AL,33,COLBERT,TORNADO,25.0,K,1.0,3,1962
35,1962-03-31,1,AL,57,FAYETTE,TORNADO,25.0,K,2.0,3,1962
36,1962-03-31,1,AL,93,MARION,TORNADO,250.0,K,1.0,3,1962
37,1962-03-31,1,AL,3,BALDWIN,TORNADO,250.0,K,2.0,3,1962
38,1988-04-18,1,AL,69,HOUSTON,TORNADO,0.0,K,0.0,4,1988
39,1988-05-09,1,AL,71,JACKSON,TORNADO,25.0,K,2.0,5,1988
40,1988-05-09,1,AL,49,DEKALB,TORNADO,25.0,K,2.0,5,1988
41,1973-04-18,1,AL,31,COFFEE,TORNADO,2.5,M,2.0,4,1973
42,1973-04-24,1,AL,117,SHELBY,TORNADO,250.0,K,1.0,4,1973
